country,percent_under_5m,total_pop,total_under_5m,total_10cm,total_20cm,total_30cm,total_40cm,total_50cm,total_60cm,total_70cm,total_80cm,total_90cm,total_100cm,total_110cm,total_120cm,total_130cm,total_140cm,total_150cm,total_160cm,total_170cm,total_180cm,total_190cm,total_200cm
Colombia,1.224929591,45222700.0,553946.234149157,11078.924682983139,22157.849365966278,33236.77404894942,44315.698731932556,55394.623414915695,66473.54809789883,77552.47278088196,88631.39746386511,99710.32214684825,110789.24682983139,121868.17151281454,132947.09619579767,144026.0208787808,155104.94556176392,166183.8702447471,177262.79492773023,188341.71961071333,199420.6442936965,210499.56897667964,221578.49365966278
Comoros,0.723851157,689692.0,4992.3435217364395,99.84687043472879,199.69374086945757,299.54061130418637,399.38748173891514,499.23435217364397,599.0812226083727,698.9280930431014,798.7749634778303,898.621833912559,998.4687043472879,1098.315574782017,1198.1624452167455,1298.0093156514743,1397.8561860862028,1497.7030565209318,1597.5499269556606,1697.3967973903893,1797.243667825118,1897.090538259847,1996.9374086945759
Cabo Verde,5.636994382999999,492654.0,27770.878307624815,555.4175661524963,1110.8351323049926,1666.2526984574888,2221.670264609985,2777.0878307624816,3332.5053969149776,3887.9229630674736,4443.34052921997,4998.758095372466,5554.175661524963,6109.59322767746,6665.010793829955,7220.428359982452,7775.845926134947,8331.263492287444,8886.68105843994,9442.098624592436,9997.516190744933,10552.93375689743,11108.351323049927
Costa Rica,0.361702216,4577378.0,16556.47766069648,331.1295532139296,662.2591064278593,993.3886596417888,1324.5182128557185,1655.6477660696482,1986.7773192835775,2317.9068724975073,2649.036425711437,2980.1659789253663,3311.2955321392965,3642.425085353226,3973.554638567155,4304.684191781085,4635.8137449950145,4966.943298208944,5298.072851422874,5629.202404636803,5960.331957850733,6291.461511064663,6622.591064278593
Caribbean small states,11.599128755571401,6973206.0,808831.1423312303,16176.622846624607,32353.245693249213,48529.868539873816,64706.49138649843,80883.11423312304,97059.73707974763,113236.35992637224,129412.98277299685,145589.60561962146,161766.22846624607,177942.85131287068,194119.47415949526,210296.0970061199,226472.71985274449,242649.3426993691,258825.9655459937,275002.5883926183,291179.2112392429,307355.8340858675,323532.45693249215
Cuba,2.907142218,11225832.0,326350.90139375377,6527.018027875076,13054.036055750152,19581.054083625226,26108.072111500303,32635.090139375377,39162.10816725045,45689.12619512552,52216.14422300061,58743.16225087568,65270.180278750755,71797.19830662584,78324.2163345009,84851.23436237598,91378.25239025104,97905.27041812612,104432.28844600121,110959.30647387628,117486.32450175135,124013.34252962643,130540.36055750151
Cayman Islands,12.072328935,56672.0,6841.6302540432,136.832605080864,273.665210161728,410.49781524259197,547.330420323456,684.16302540432,820.9956304851839,957.8282355660479,1094.660840646912,1231.493445727776,1368.32605080864,1505.1586558895042,1641.9912609703679,1778.823866051232,1915.6564711320957,2052.48907621296,2189.321681293824,2326.1542863746877,2462.986891455552,2599.819496536416,2736.65210161728
Cyprus,5.63504184,1112612.0,62696.151716860804,1253.9230343372162,2507.8460686744324,3761.769103011648,5015.692137348865,6269.61517168608,7523.538206023296,8777.461240360512,10031.38427469773,11285.307309034944,12539.23034337216,13793.15337770938,15047.076412046592,16300.99944638381,17554.922480721023,18808.84551505824,20062.76854939546,21316.69158373267,22570.61461806989,23824.537652407107,25078.46068674432
Germany,4.043249379,81776930.0,3306445.2143902644,66128.90428780529,132257.80857561057,198386.71286341586,264515.61715122114,330644.52143902646,396773.4257268317,462902.330014637,529031.2343024423,595160.1385902476,661289.0428780529,727417.9471658582,793546.8514536634,859675.7557414687,925804.660029274,991933.5643170793,1058062.4686048846,1124191.37289269,1190320.2771804952,1256449.1814683005,1322578.0857561058
Djibouti,12.352045083,840198.0,103781.63574646434,2075.632714929287,4151.265429858574,6226.89814478786,8302.530859717148,10378.163574646434,12453.79628957572,14529.429004505006,16605.061719434296,18680.69443436358,20756.32714929287,22831.959864222157,24907.59257915144,26983.22529408073,29058.85800901001,31134.4907239393,33210.12343886859,35285.75615379787,37361.38886872716,39437.021583656446,41512.65429858574
Dominica,0.98172487,70878.0,695.8269533586,13.916539067172,27.833078134344,41.749617201515996,55.666156268688,69.58269533586001,83.49923440303199,97.41577347020399,111.332312537376,125.248851604548,139.16539067172002,153.08192973889203,166.99846880606398,180.91500787323602,194.83154694040797,208.74808600757999,222.664625074752,236.58116414192398,250.497703209096,264.414242276268,278.33078134344004
Denmark,16.338236604000002,5547683.0,906393.5745798855,18127.87149159771,36255.74298319542,54383.614474793125,72511.48596639084,90639.35745798855,108767.22894958625,126895.10044118395,145022.9719327817,163150.8434243794,181278.7149159771,199406.58640757482,217534.4578991725,235662.32939077023,253790.2008823679,271918.07237396564,290045.9438655634,308173.81535716105,326301.6868487588,344429.55834035645,362557.4298319542
Dominican Republic,1.230040795,9695121.0,119253.94342461196,2385.0788684922395,4770.157736984479,7155.236605476717,9540.315473968958,11925.394342461197,14310.473210953434,16695.55207944567,19080.630947937916,21465.709816430153,23850.788684922394,26235.867553414635,28620.94642190687,31006.025290399113,33391.10415889134,35776.18302738359,38161.26189587583,40546.34076436806,42931.41963286031,45316.498501352544,47701.57736984479
Algeria,0.757500587,35977455.0,272529.4328126609,5450.588656253218,10901.177312506436,16351.765968759652,21802.35462501287,27252.94328126609,32703.531937519303,38154.12059377252,43604.70925002574,49055.29790627895,54505.88656253218,59956.4752187854,65407.063875038606,70857.65253129182,76308.24118754503,81758.82984379826,87209.41850005148,92660.0071563047,98110.5958125579,103561.18446881113,109011.77312506436
East Asia & Pacific (excluding high income),8.13527262507833,1965964309.0,159936556.24888736,3198731.1249777474,6397462.249955495,9596193.374933241,12794924.49991099,15993655.624888737,19192386.749866482,22391117.874844227,25589848.99982198,28788580.124799725,31987311.249777474,35186042.374755226,38384773.499732964,41583504.62471072,44782235.749688454,47980966.87466621,51179697.99964396,54378429.1246217,57577160.24959945,60775891.374577194,63974622.49955495
Early-demographic dividend,3.85252542121306,2908287643.0,112042520.76857312,2240850.4153714622,4481700.8307429245,6722551.246114387,8963401.661485849,11204252.076857314,13445102.492228774,15685952.907600235,17926803.322971698,20167653.73834316,22408504.153714627,24649354.56908609,26890204.98445755,29131055.39982901,31371905.81520047,33612756.23057193,35853606.645943396,38094457.06131486,40335307.47668632,42576157.892057784,44817008.307429254
East Asia & Pacific,8.26898125995202,2206884624.0,182486875.98732257,3649737.5197464516,7299475.039492903,10949212.559239354,14598950.078985807,18248687.59873226,21898425.118478708,25548162.638225157,29197900.157971613,32847637.677718062,36497375.19746452,40147112.71721097,43796850.236957416,47446587.75670387,51096325.27645031,54746062.796196766,58395800.315943226,62045537.83568967,65695275.355436124,69345012.87518258,72994750.39492904
Europe & Central Asia (excluding high income),1.4654603282178,398783138.0,5844008.683012042,116880.17366024085,233760.3473204817,350640.5209807225,467520.6946409634,584400.8683012043,701281.041961445,818161.2156216858,935041.3892819268,1051921.5629421675,1168801.7366024086,1285681.9102626494,1402562.08392289,1519442.257583131,1636322.4312433717,1753202.6049036125,1870082.7785638536,1986962.9522240942,2103843.125884335,2220723.299544576,2337603.473204817
Europe & Central Asia,4.35234419723949,888627318.0,38676119.51005791,773522.3902011582,1547044.7804023165,2320567.1706034746,3094089.560804633,3867611.9510057913,4641134.341206949,5414656.731408107,6188179.121609266,6961701.511810424,7735223.902011583,8508746.292212741,9282268.682413898,10055791.072615057,10829313.462816214,11602835.853017373,12376358.243218532,13149880.633419689,13923403.023620848,14696925.413822006,15470447.804023165
Ecuador,5.190229742,15011117.0,779111.459140418,15582.22918280836,31164.45836561672,46746.68754842508,62328.91673123344,77911.1459140418,93493.37509685016,109075.60427965851,124657.83346246688,140240.06264527523,155822.2918280836,171404.52101089197,186986.7501937003,202568.97937650868,218151.20855931702,233733.4377421254,249315.66692493376,264897.8961077421,280480.12529055047,296062.35447335884,311644.5836561672
"Egypt, Arab Rep.",21.523719296,82761235.0,17813295.907302905,356265.9181460581,712531.8362921162,1068797.7544381742,1425063.6725842324,1781329.5907302906,2137595.5088763484,2493861.4270224064,2850127.345168465,3206393.263314523,3562659.1814605813,3918925.0996066397,4275191.017752697,4631456.935898756,4987722.854044813,5343988.772190872,5700254.69033693,6056520.608482987,6412786.526629046,6769052.444775104,7125318.3629211625
Euro area,7.226744035952691,336151479.0,24292806.960399263,485856.13920798525,971712.2784159705,1457568.4176239558,1943424.556831941,2429280.6960399263,2915136.8352479115,3400992.9744558963,3886849.113663882,4372705.252871867,4858561.3920798525,5344417.531287839,5830273.670495823,6316129.809703808,6801985.948911793,7287842.088119779,7773698.227327764,8259554.366535748,8745410.505743735,9231266.64495172,9717122.784159705
Eritrea,0.767548828,3170435.0,24334.6366850018,486.692733700036,973.385467400072,1460.078201100108,1946.770934800144,2433.46366850018,2920.156402200216,3406.8491359002514,3893.541869600288,4380.234603300323,4866.92733700036,5353.620070700396,5840.312804400432,6327.005538100468,6813.698271800503,7300.391005500539,7787.083739200576,8273.77647290061,8760.469206600646,9247.161940300684,9733.85467400072
Spain,4.376614966,46576897.0,2038491.444800405,40769.828896008104,81539.65779201621,122309.4866880243,163079.31558403242,203849.14448004053,244618.9733760486,285388.8022720567,326158.63116806484,366928.4600640729,407698.28896008106,448468.1178560892,489237.9467520972,530007.7756481053,570777.6045441134,611547.4334401215,652317.2623361297,693087.0912321376,733856.9201281458,774626.7490241539,815396.5779201621
Estonia,2.9064758810000004,1331475.0,38698.999736544756,773.9799947308951,1547.9599894617902,2321.939984192685,3095.9199789235804,3869.8999736544756,4643.87996838537,5417.859963116265,6191.839957847161,6965.819952578056,7739.799947308951,8513.779942039848,9287.75993677074,10061.739931501637,10835.71992623253,11609.699920963427,12383.679915694322,13157.659910425216,13931.639905156111,14705.619899887008,15479.599894617902
Ethiopia,0.0,87639964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European Union,6.18716849420529,504298777.0,31201815.04720659,624036.3009441318,1248072.6018882636,1872108.9028323954,2496145.203776527,3120181.5047206595,3744217.805664791,4368254.106608923,4992290.407553054,5616326.708497186,6240363.009441319,6864399.310385451,7488435.611329582,8112471.912273714,8736508.213217845,9360544.514161978,9984580.815106109,10608617.11605024,11232653.416994372,11856689.717938505,12480726.018882638
Fragile and conflict affected situations,3.4997067969387596,430002303.0,15048819.8250842,300976.39650168404,601952.7930033681,902929.1895050519,1203905.5860067362,1504881.98250842,1805858.3790101039,2106834.7755117877,2407811.1720134723,2708787.568515156,3009763.96501684,3310740.3615185246,3611716.7580202078,3912693.1545218923,4213669.5510235755,4514645.94752526,4815622.344026945,5116598.740528627,5417575.137030312,5718551.533531996,6019527.93003368
Finland,1.864564778,5363352.0,100003.17231215855,2000.063446243171,4000.126892486342,6000.190338729513,8000.253784972684,10000.317231215857,12000.380677459027,14000.444123702197,16000.507569945368,18000.57101618854,20000.634462431713,22000.697908674883,24000.761354918053,26000.824801161223,28000.888247404393,30000.951693647563,32001.015139890736,34001.0785861339,36001.14203237708,38001.20547862025,40001.26892486343
Fiji,4.892924565,859818.0,42070.2461362917,841.404922725834,1682.809845451668,2524.214768177502,3365.619690903336,4207.024613629171,5048.429536355004,5889.834459080837,6731.239381806672,7572.644304532506,8414.049227258341,9255.454149984176,10096.859072710007,10938.263995435844,11779.668918161675,12621.07384088751,13462.478763613344,14303.883686339177,15145.288609065012,15986.693531790846,16828.098454516683
France,2.892155592,65027507.0,1880696.6800386913,37613.933600773824,75227.86720154765,112841.80080232148,150455.7344030953,188069.66800386913,225683.60160464296,263297.53520541673,300911.4688061906,338525.4024069644,376139.33600773825,413753.2696085121,451367.2032092859,488981.1368100597,526595.0704108335,564209.0040116074,601822.9376123812,639436.871213155,677050.8048139288,714664.7384147027,752278.6720154765
Faroe Islands,6.771790359,47814.0,3237.86384225226,64.7572768450452,129.5145536900904,194.2718305351356,259.0291073801808,323.786384225226,388.5436610702712,453.30093791531635,518.0582147603616,582.8154916054068,647.572768450452,712.3300452954973,777.0873221405424,841.8445989855876,906.6018758306327,971.3591526756779,1036.1164295207232,1100.8737063657684,1165.6309832108136,1230.3882600558588,1295.145536900904
"Micronesia, Fed. Sts.",8.41057523,102911.0,8655.407074945299,173.10814149890598,346.21628299781196,519.3244244967179,692.4325659956239,865.5407074945299,1038.6488489934359,1211.7569904923416,1384.8651319912478,1557.9732734901536,1731.0814149890598,1904.189556487966,2077.2976979868718,2250.4058394857775,2423.5139809846833,2596.6221224835895,2769.7302639824957,2942.8384054814014,3115.946546980307,3289.0546884792134,3462.1628299781196
Gabon,4.937052655,1624140.0,80184.646990917,1603.69293981834,3207.38587963668,4811.07881945502,6414.77175927336,8018.4646990917,9622.15763891004,11225.85057872838,12829.54351854672,14433.23645836506,16036.9293981834,17640.62233800174,19244.31527782008,20848.00821763842,22451.70115745676,24055.394097275097,25659.08703709344,27262.779976911777,28866.47291673012,30470.165856548458,32073.8587963668
United Kingdom,5.3130183639999995,62766365.0,3334788.498865268,66695.76997730536,133391.53995461072,200087.3099319161,266783.07990922144,333478.8498865268,400174.6198638322,466870.3898411375,533566.1598184429,600261.9297957482,666957.6997730536,733653.4697503591,800349.2397276644,867045.0097049697,933740.779682275,1000436.5496595805,1067132.3196368858,1133828.089614191,1200523.8595914964,1267219.629568802,1333915.3995461073
Georgia,2.755012502,3786695.0,104323.9206626089,2086.478413252178,4172.956826504356,6259.4352397565335,8345.913653008713,10432.39206626089,12518.870479513067,14605.348892765245,16691.827306017425,18778.3057192696,20864.78413252178,22951.26254577396,25037.740959026134,27124.219372278316,29210.69778553049,31297.17619878267,33383.65461203485,35470.133025287025,37556.6114385392,39643.08985179138,41729.56826504356
Ghana,2.6227056369999997,24779619.0,649896.464340123,12997.92928680246,25995.85857360492,38993.78786040738,51991.71714720984,64989.646434012306,77987.57572081476,90985.5050076172,103983.43429441968,116981.36358122213,129979.29286802461,142977.2221548271,155975.1514416295,168973.080728432,181971.0100152344,194968.9393020369,207966.86858883937,220964.7978756418,233962.72716244427,246960.65644924674,259958.58573604922
Gibraltar,29.01155176,33585.0,9743.529658595999,194.87059317191998,389.74118634383996,584.6117795157598,779.4823726876799,974.3529658595999,1169.2235590315197,1364.0941522034398,1558.9647453753598,1753.8353385472797,1948.7059317191997,2143.57652489112,2338.4471180630394,2533.31771123496,2728.1883044068795,2923.0588975787996,3117.9294907507197,3312.8000839226393,3507.6706770945593,3702.5412702664794,3897.4118634383995
Guinea,6.047043789,10192176.0,616325.3457719486,12326.506915438971,24653.013830877942,36979.52074631691,49306.027661755885,61632.53457719486,73959.04149263383,86285.54840807279,98612.05532351177,110938.56223895073,123265.06915438973,135591.5760698287,147918.08298526765,160244.58990070663,172571.09681614558,184897.60373158456,197224.11064702354,209550.6175624625,221877.12447790147,234203.63139334047,246530.13830877945
"Gambia, The",23.533248763000003,1793196.0,421997.27548816556,8439.94550976331,16879.89101952662,25319.836529289933,33759.78203905324,42199.72754881656,50639.673058579865,59079.61856834317,67519.56407810649,75959.50958786979,84399.45509763312,92839.40060739644,101279.34611715973,109719.29162692305,118159.23713668634,126599.18264644966,135039.12815621297,143479.07366597626,151919.01917573958,160358.96468550293,168798.91019526625
Guinea-Bissau,15.2648231,1522599.0,232422.043872369,4648.4408774473795,9296.881754894759,13945.322632342139,18593.763509789518,23242.2043872369,27890.645264684277,32539.086142131655,37187.527019579036,41835.967897026414,46484.4087744738,51132.849651921184,55781.290529368554,60429.73140681594,65078.17228426331,69726.61316171069,74375.05403915807,79023.49491660544,83671.93579405283,88320.37667150021,92968.8175489476
