1880-01-01,-183.0
1880-02-01,-171.1
1880-03-01,-164.3
1880-04-01,-158.2
1880-05-01,-158.7
1880-06-01,-159.6
1880-07-01,-159.6
1880-08-01,-161.8
1880-09-01,-158.9
1880-10-01,-150.3
1880-11-01,-144.5
1880-12-01,-134.7
1881-01-01,-136.4
1881-02-01,-139.2
1881-03-01,-145.2
1881-04-01,-151.1
1881-05-01,-152.2
1881-06-01,-154.2
1881-07-01,-147.7
1881-08-01,-151.4
1881-09-01,-156.0
1881-10-01,-165.5
1881-11-01,-167.9
1881-12-01,-169.9
1882-01-01,-167.8
1882-02-01,-162.0
1882-03-01,-158.8
1882-04-01,-160.6
1882-05-01,-164.5
1882-06-01,-165.2
1882-07-01,-167.3
1882-08-01,-169.0
1882-09-01,-174.9
1882-10-01,-181.5
1882-11-01,-182.5
1882-12-01,-184.5
1883-01-01,-179.9
1883-02-01,-180.0
1883-03-01,-172.4
1883-04-01,-172.3
1883-05-01,-164.0
1883-06-01,-163.6
1883-07-01,-161.1
1883-08-01,-162.0
1883-09-01,-159.3
1883-10-01,-158.2
1883-11-01,-153.2
1883-12-01,-149.1
1884-01-01,-142.5
1884-02-01,-139.5
1884-03-01,-137.0
1884-04-01,-135.2
1884-05-01,-136.0
1884-06-01,-140.0
1884-07-01,-143.3
1884-08-01,-146.8
1884-09-01,-150.4
1884-10-01,-150.4
1884-11-01,-154.0
1884-12-01,-149.9
1885-01-01,-153.1
1885-02-01,-148.3
1885-03-01,-145.3
1885-04-01,-142.7
1885-05-01,-143.1
1885-06-01,-142.7
1885-07-01,-148.4
1885-08-01,-143.2
1885-09-01,-146.5
1885-10-01,-141.2
1885-11-01,-143.3
1885-12-01,-145.1
1886-01-01,-147.3
1886-02-01,-152.2
1886-03-01,-146.8
1886-04-01,-142.0
1886-05-01,-134.7
1886-06-01,-135.4
1886-07-01,-140.8
1886-08-01,-147.7
1886-09-01,-155.1
1886-10-01,-155.2
1886-11-01,-157.9
1886-12-01,-155.8
1887-01-01,-162.2
1887-02-01,-165.8
1887-03-01,-162.9
1887-04-01,-158.8
1887-05-01,-151.9
1887-06-01,-147.1
1887-07-01,-147.3
1887-08-01,-147.5
1887-09-01,-150.6
1887-10-01,-147.5
1887-11-01,-148.8
1887-12-01,-148.0
1888-01-01,-155.3
1888-02-01,-155.6
1888-03-01,-155.0
1888-04-01,-155.2
1888-05-01,-154.2
1888-06-01,-151.6
1888-07-01,-149.0
1888-08-01,-148.5
1888-09-01,-151.5
1888-10-01,-145.0
1888-11-01,-146.0
1888-12-01,-146.0
1889-01-01,-151.1
1889-02-01,-147.4
1889-03-01,-144.3
1889-04-01,-145.0
1889-05-01,-145.9
1889-06-01,-145.8
1889-07-01,-147.0
1889-08-01,-147.6
1889-09-01,-151.3
1889-10-01,-153.8
1889-11-01,-157.6
1889-12-01,-157.2
1890-01-01,-152.3
1890-02-01,-151.4
1890-03-01,-140.0
